Coluna1,Coluna2,Coluna3,Coluna4,Coluna5,Coluna6
004,007,042,047,048,051
018,022,025,030,031,041
005,017,031,047,051,053
006,014,017,026,040,049
020,040,042,052,054,060
022,028,030,031,035,054
020,028,043,051,052,056
004,005,020,047,053,056
001,011,014,023,042,048
011,013,027,034,046,049
003,010,013,030,041,057
006,012,028,043,052,056
005,007,024,025,036,047
006,007,039,047,051,052
002,003,012,016,037,047
011,014,021,030,033,049
033,038,047,050,052,055
001,022,030,045,050,053
005,022,028,047,059,060
012,030,034,044,057,060
018,020,026,031,044,045
002,004,029,052,056,060
005,010,012,020,029,037
004,009,023,027,028,030
002,010,021,035,043,054
007,008,012,013,015,041
008,017,019,040,043,049
009,020,044,052,059,060
014,021,027,031,035,050
010,011,019,037,053,056
003,011,016,022,025,033
017,020,049,052,057,059
002,009,012,014,032,054
006,013,024,041,050,053
017,020,026,027,055,057
003,006,019,020,058,060
036,037,039,049,054,060
022,029,036,041,048,058
016,019,023,028,039,058
003,010,011,039,054,056
028,032,036,049,055,060
008,009,011,048,053,060
007,009,030,033,038,055
005,010,025,039,043,052
004,013,014,026,029,035
002,006,011,036,037,048
009,011,022,032,035,056
001,012,020,026,045,054
005,014,017,030,035,038
003,007,009,010,031,034
003,015,031,036,048,054
002,023,033,035,040,050
003,011,026,034,045,053
005,029,030,036,041,048
010,025,030,047,050,051
004,007,013,025,027,058
005,011,015,028,043,050
010,023,029,031,033,046
002,033,034,037,041,053
005,015,043,048,052,055
005,014,037,043,046,058
005,008,019,026,048,057
015,017,035,042,047,048
019,021,027,041,053,057
031,032,034,040,050,055
010,031,040,050,055,056
004,028,030,031,035,054
010,023,036,050,052,060
012,030,032,040,049,060
009,012,019,022,035,037
005,020,023,027,039,049
008,011,012,015,018,022
022,029,032,049,054,059
003,005,019,024,030,035
010,016,020,026,049,055
003,008,017,020,038,053
005,018,021,026,039,059
013,014,024,039,040,045
001,015,037,039,048,052
008,009,012,022,042,049
010,013,025,026,028,045
011,034,045,048,051,054
009,019,023,029,032,057
002,008,015,025,034,045
002,010,034,037,043,050
010,037,040,043,057,059
003,009,011,024,036,051
020,033,034,057,058,060
003,008,036,040,051,053
001,002,024,040,051,059
005,027,034,046,048,052
002,014,035,039,049,051
002,017,023,043,044,051
007,009,014,018,029,039
005,023,038,039,051,054
026,033,035,038,043,053
002,015,026,027,030,052
011,026,047,055,057,059
004,006,039,046,054,058
019,023,029,031,041,053
010,014,022,041,042,053
005,007,008,009,011,039
004,018,026,036,041,053
004,017,036,037,051,056
013,019,024,046,050,060
006,010,033,039,042,060
004,020,030,041,047,058
003,016,017,044,053,060
004,005,015,017,027,051
005,009,024,031,033,042
001,002,039,048,052,059
013,026,027,028,035,052
013,019,026,040,058,060
013,017,021,039,040,059
002,014,048,055,058,060
005,009,011,022,036,040
012,018,031,050,059,060
004,016,024,025,030,056
008,014,029,035,036,040
006,010,016,020,029,054
008,011,014,030,036,038
004,023,039,052,055,056
008,030,040,044,059,060
020,021,026,029,031,036
010,015,028,031,033,038
002,005,028,033,051,052
011,012,031,033,042,052
017,030,032,040,042,056
001,003,008,013,027,052
002,003,014,023,034,050
018,040,047,054,057,058
009,011,023,030,031,054
001,013,024,040,044,050
004,006,029,048,050,051
002,005,015,020,043,057
010,014,043,046,049,053
002,005,011,013,056,059
014,015,030,053,055,060
008,022,032,043,053,056
043,044,046,053,054,059
003,016,023,025,051,056
002,010,015,044,056,057
008,019,046,051,052,054
007,014,015,020,023,035
003,005,011,036,044,046
006,019,022,034,043,045
007,010,032,043,047,054
007,008,024,030,033,047
007,012,025,026,032,039
008,009,014,032,053,059
007,009,012,019,045,054
005,020,022,028,029,030
001,004,026,039,043,049
038,042,044,052,058,060
001,027,029,038,050,052
008,013,025,034,042,048
006,013,029,030,035,037
011,014,016,028,034,046
004,005,016,018,027,051
017,024,025,038,041,055
010,047,051,053,059,060
010,021,043,047,053,055
006,015,025,037,048,055
018,029,031,044,051,057
002,005,016,020,035,043
010,011,018,019,030,050
016,035,036,041,052,054
010,023,027,043,053,059
007,008,011,039,043,050
008,018,021,030,048,049
009,024,026,039,046,057
003,005,013,024,035,059
025,026,028,033,042,051
001,006,008,010,025,027
003,014,020,022,049,051
001,032,038,047,051,054
002,020,035,038,045,051
001,018,019,033,043,060
007,010,014,016,054,059
013,021,030,036,059,060
001,011,020,037,040,052
005,007,042,046,050,060
019,020,031,042,051,056
008,019,021,036,042,059
007,017,019,026,040,050
012,032,040,047,048,059
009,019,045,046,054,056
007,012,038,039,045,056
009,019,020,050,051,060
003,004,029,036,045,055
013,033,036,041,050,056
009,018,024,035,036,059
003,011,013,027,032,047
002,008,038,042,048,049
011,017,024,039,046,049
006,013,021,022,031,046
001,019,024,026,052,055
003,015,016,035,037,047
006,010,012,017,028,053
002,016,017,025,050,054
023,027,030,037,038,044
002,012,019,022,036,058
025,035,042,045,052,057
010,013,020,040,044,053
002,024,026,032,035,050
012,027,037,044,054,059
002,007,013,029,038,043
010,021,026,029,032,038
005,016,024,032,038,046
002,004,005,027,049,059
003,004,008,011,047,049
003,036,040,046,058,060
007,027,039,052,055,057
006,021,028,031,033,043
014,025,028,045,053,058
009,011,021,049,053,054
002,005,012,013,025,035
002,005,017,018,054,059
005,012,036,045,050,058
003,014,052,055,057,060
011,027,030,040,044,057
005,013,016,017,027,055
007,009,023,044,046,055
002,018,030,031,045,056
027,035,036,037,042,059
012,028,038,039,051,056
018,027,032,043,050,052
022,029,031,043,050,054
001,016,028,039,044,057
004,019,027,028,029,031
007,012,019,034,040,053
002,008,012,028,033,043
004,018,024,028,039,044
011,016,024,035,046,050
005,011,017,019,044,048
029,048,052,054,055,058
003,004,007,015,027,056
014,032,033,040,042,051
034,039,043,056,057,060
009,026,034,043,053,054
011,012,025,033,048,054
002,009,010,021,027,038
013,016,020,026,039,042
007,008,027,031,032,051
003,014,017,032,037,039
007,010,017,024,038,057
018,029,031,042,043,053
004,019,020,024,039,043
006,019,026,047,050,058
018,029,040,042,050,054
008,012,032,044,046,048
006,008,024,037,041,045
013,015,033,045,054,055
021,037,044,046,049,057
026,036,040,046,049,051
003,019,022,024,035,049
005,012,045,052,056,059
007,008,010,012,027,056
017,021,030,048,052,058
002,011,016,018,036,045
019,031,039,044,053,059
002,005,013,017,039,044
003,008,021,025,027,043
003,007,015,029,038,060
007,016,029,036,038,050
006,015,018,024,030,044
008,039,044,047,053,056
007,015,019,034,037,055
009,012,022,039,048,060
002,019,022,030,046,052
005,009,013,033,040,054
016,024,025,042,045,059
004,013,014,040,046,052
003,018,022,034,055,058
004,015,045,047,050,052
001,013,023,024,030,057
022,023,026,037,038,048
007,014,031,033,036,049
002,034,035,042,043,055
002,006,028,036,051,056
017,029,036,038,053,056
012,013,020,030,034,049
012,020,032,048,052,054
002,005,027,028,048,055
005,019,032,041,049,058
006,013,024,032,040,051
001,019,028,033,039,041
001,025,029,036,056,060
002,006,018,030,052,056
026,027,031,038,044,045
002,010,011,033,052,057
002,014,028,050,057,058
006,013,025,032,047,057
004,027,029,041,048,052
014,032,033,036,041,052
006,008,014,026,036,040
015,016,034,042,046,059
002,004,016,033,044,051
002,006,030,034,035,052
004,014,027,038,050,052
031,036,044,047,049,054
005,009,025,027,038,040
013,022,028,029,040,048
002,024,032,050,054,059
006,011,016,026,044,053
004,006,013,034,037,051
023,024,026,041,052,053
001,002,010,019,020,037
004,013,035,054,056,058
002,034,036,038,051,055
010,025,033,036,040,058
012,018,023,025,045,050
002,012,033,057,058,060
001,002,003,011,028,043
012,013,037,044,048,051
004,010,026,037,047,057
003,004,046,050,056,059
010,027,037,040,047,055
021,048,050,054,057,060
009,014,021,026,036,052
017,027,028,040,044,055
006,009,011,034,041,053
001,035,039,053,055,056
017,020,024,029,049,053
004,027,030,036,054,059
001,006,010,034,040,054
004,009,017,023,028,053
004,022,025,038,045,051
001,015,024,026,028,048
001,003,031,032,043,052
006,026,045,050,056,060
004,009,018,044,046,048
007,012,024,027,030,049
002,014,024,028,035,050
004,013,014,044,049,057
014,018,028,041,047,054
004,005,007,027,045,058
006,011,027,040,046,049
008,022,026,033,037,054
010,018,031,043,057,059
001,007,013,029,037,054
006,022,043,051,052,057
003,004,016,022,036,042
002,010,012,030,041,042
001,002,006,009,016,032
003,014,018,034,042,049
024,046,050,051,052,056
017,018,030,035,039,058
001,006,027,046,051,059
001,008,017,044,046,053
004,008,017,029,031,045
011,028,035,042,046,058
017,028,031,056,057,058
016,017,023,042,059,060
004,013,014,018,049,059
004,018,020,034,045,060
007,017,038,045,052,056
008,009,028,041,048,055
005,006,015,023,056,059
007,031,035,036,046,048
011,014,018,030,033,039
005,008,023,032,033,056
022,025,031,039,041,044
002,012,040,046,052,053
002,026,030,035,046,054
010,016,028,047,051,059
016,032,036,042,044,048
004,013,015,019,036,058
011,015,017,034,035,049
010,016,028,033,048,053
012,013,024,041,042,044
002,011,023,031,042,044
013,021,029,034,047,057
001,012,028,029,034,048
008,009,025,041,054,055
013,018,029,032,050,058
006,010,033,050,051,056
023,027,035,052,053,057
008,010,020,026,049,058
003,017,027,032,047,054
005,024,037,044,049,058
007,011,012,030,039,057
007,015,020,023,030,041
002,021,030,035,045,050
004,006,011,024,045,048
004,017,038,044,053,060
002,009,010,018,021,028
019,041,042,044,047,054
010,012,016,020,032,053
009,013,021,027,036,056
002,015,019,021,023,038
007,018,024,026,039,046
020,021,022,029,046,060
030,032,049,050,052,053
002,005,023,033,052,059
001,004,007,010,011,052
004,016,018,031,045,046
007,015,017,031,042,054
008,012,016,029,037,058
020,030,036,038,047,053
023,026,028,054,055,060
010,012,023,037,047,051
001,006,013,020,036,043
025,038,044,046,053,054
018,037,039,041,043,051
005,006,011,032,036,060
002,015,030,038,048,053
019,024,025,028,042,058
005,015,018,031,042,053
015,018,024,042,046,056
003,029,032,046,055,060
020,027,042,045,046,047
007,016,021,035,036,038
006,027,028,033,046,048
001,004,005,014,045,056
013,015,021,026,030,046
011,014,025,032,051,059
003,006,030,037,053,056
025,034,040,049,051,060
001,006,014,017,033,036
014,015,025,030,031,034
001,004,013,017,038,048
002,009,017,018,045,047
003,022,027,028,050,054
002,043,047,048,049,055
008,039,043,046,047,058
008,019,021,030,052,056
023,029,032,036,045,049
004,005,011,019,041,051
007,020,034,040,044,055
004,010,023,033,038,055
031,036,038,041,042,049
004,009,017,018,021,038
006,007,008,023,043,053
002,005,008,042,046,059
001,005,007,010,012,045
005,010,016,044,050,052
029,031,036,042,047,053
003,010,015,035,036,058
009,023,032,035,046,057
008,010,024,045,056,060
008,012,022,035,040,044
013,020,027,031,053,060
002,021,024,027,040,051
009,019,021,030,031,042
001,015,037,042,046,054
007,031,032,041,051,052
005,006,017,043,054,059
002,006,013,026,053,060
001,004,009,035,036,053
024,028,047,050,051,058
006,013,017,036,042,051
004,018,031,044,046,049
014,017,021,027,043,049
005,020,026,031,033,044
028,031,040,042,046,058
003,023,026,031,047,054
009,020,024,043,051,052
005,008,017,042,046,047
013,023,027,034,038,057
010,022,024,038,039,049
004,005,007,021,045,053
033,043,049,050,056,059
002,027,032,041,047,058
011,022,036,040,045,052
003,005,014,035,043,052
020,026,032,041,045,057
026,029,034,038,050,060
004,020,024,035,047,059
001,007,030,043,044,054
004,029,044,047,048,060
006,018,024,027,056,059
001,002,011,013,036,049
009,010,023,033,044,051
008,023,028,030,032,051
019,026,033,035,051,052
001,005,024,047,055,056
001,002,038,041,042,058
016,029,034,035,049,051
002,006,018,023,031,046
023,029,030,033,046,051
003,023,042,043,047,060
016,019,020,028,037,060
010,013,016,022,034,060
008,018,021,031,037,038
019,023,034,040,041,058
012,017,023,038,053,054
015,016,018,020,022,048
024,033,038,042,044,054
017,023,029,038,057,060
008,027,035,038,041,044
007,024,026,028,044,057
001,021,022,027,032,045
007,016,033,042,050,058
007,024,028,046,053,056
004,006,011,043,054,056
007,010,014,037,045,054
007,011,019,023,040,049
004,010,020,033,037,049
008,017,034,038,042,051
013,016,027,043,048,058
010,014,025,029,033,057
018,020,027,040,049,055
008,021,023,029,036,048
001,005,011,016,020,056
001,002,023,027,045,051
007,012,024,044,051,056
005,040,047,052,055,057
028,029,031,045,048,049
001,017,019,030,033,047
021,027,031,045,055,056
001,003,005,010,020,042
005,010,023,024,035,047
022,030,042,050,058,059
003,018,034,035,036,056
001,002,011,037,048,051
010,015,028,033,051,052
009,011,017,019,035,052
001,002,027,028,046,047
023,037,038,046,047,051
001,006,008,011,033,050
007,013,035,037,039,051
004,012,032,033,034,048
009,012,018,031,039,050
003,018,031,039,046,051
009,014,037,044,046,055
015,024,037,046,049,058
018,023,030,032,042,056
002,005,013,027,041,053
021,024,026,035,045,053
001,010,024,039,045,058
011,013,014,027,044,056
005,015,018,019,021,038
020,029,034,037,045,057
024,036,038,043,044,058
001,012,017,031,037,046
008,023,030,051,053,058
011,013,024,028,044,045
001,006,010,030,033,038
015,018,041,048,050,058
003,009,018,032,040,056
017,019,033,035,039,052
003,023,026,035,039,049
001,007,011,032,051,059
025,027,029,037,050,051
012,031,034,036,048,056
007,016,020,027,036,052
017,029,032,038,045,050
007,019,030,035,042,047
007,021,028,056,058,059
022,026,038,039,045,050
002,012,019,029,050,059
003,010,016,023,027,029
002,008,024,036,051,052
016,020,035,040,053,060
002,025,036,041,042,053
002,009,016,037,044,058
004,030,031,032,047,053
001,022,031,034,044,054
018,023,031,039,049,057
004,012,019,033,036,038
009,023,039,041,049,058
014,027,030,046,052,060
027,033,037,039,058,060
016,018,026,030,031,034
003,010,042,049,054,057
004,006,019,020,040,041
003,008,028,039,042,059
007,014,023,043,044,053
001,010,017,024,042,051
005,018,027,043,049,059
025,034,038,045,053,060
003,005,009,014,041,046
012,017,025,029,041,052
006,016,033,034,045,046
012,013,024,029,032,041
005,008,042,050,051,059
012,028,037,046,048,053
009,010,017,032,034,046
010,015,025,038,047,053
015,018,020,032,048,049
011,019,021,023,027,052
004,010,029,031,034,035
009,012,014,029,042,056
009,013,018,047,052,060
006,018,037,040,041,058
006,033,034,048,053,059
002,010,013,041,049,053
003,013,014,029,033,043
015,017,020,031,041,048
015,022,023,042,051,057
009,036,037,053,055,060
008,015,029,035,045,054
020,027,030,031,040,053
002,005,008,018,030,048
006,013,014,028,035,045
013,025,028,037,043,056
006,011,016,023,036,042
002,014,021,022,051,060
010,024,025,036,047,048
009,010,036,050,053,055
026,032,042,045,055,059
009,012,015,021,031,036
006,007,029,039,041,055
001,006,028,037,056,058
022,023,041,046,053,060
016,026,035,039,044,045
005,007,011,034,035,050
032,037,044,047,054,060
011,026,027,030,034,041
002,020,027,028,032,038
012,019,027,039,041,045
015,030,039,041,045,059
001,012,020,030,052,060
002,018,031,042,051,056
010,011,014,019,039,048
004,019,038,044,052,055
004,010,038,040,045,048
012,025,030,039,056,057
006,020,022,031,033,034
001,008,022,049,052,053
006,018,034,047,052,057
004,006,016,018,021,038
004,015,026,030,054,055
005,011,027,041,042,054
002,006,008,021,025,034
001,005,013,025,026,029
003,013,042,045,056,059
006,025,043,057,058,059
011,013,026,027,028,050
012,018,046,050,053,055
002,016,017,018,041,047
013,014,022,054,056,058
001,005,034,037,040,060
030,042,047,050,055,058
022,023,034,048,053,054
002,013,014,035,054,057
002,009,023,028,045,053
001,003,004,039,051,053
006,011,016,019,031,056
006,019,034,043,045,054
002,006,013,014,017,044
004,008,029,038,049,050
020,021,028,048,050,059
017,022,027,031,049,057
011,020,035,042,055,058
001,015,016,022,025,043
002,014,020,025,041,045
009,012,023,024,046,054
001,010,025,043,050,056
005,017,032,035,037,057
020,023,032,034,037,045
009,011,013,015,019,051
009,011,027,046,051,053
008,011,025,039,041,060
005,010,012,022,028,046
001,004,026,039,047,055
002,006,010,015,053,056
017,018,026,030,033,037
003,019,023,027,040,045
019,022,031,036,052,053
001,022,026,043,050,053
004,009,021,034,054,059
005,006,012,019,030,060
010,011,021,050,051,054
017,019,032,043,048,051
026,033,042,043,053,054
006,011,032,040,048,059
007,013,024,030,032,053
003,007,029,037,054,060
015,027,028,032,048,055
014,034,046,047,056,057
002,003,007,016,027,042
002,017,022,024,048,051
008,028,036,047,050,058
008,015,018,045,059,060
041,044,048,050,054,057
005,008,024,030,057,059
007,022,028,032,056,058
015,017,033,041,047,048
003,006,013,038,049,051
016,018,022,024,034,043
008,026,028,033,041,054
003,004,037,039,048,050
003,009,013,029,030,051
006,024,026,030,034,049
001,006,045,049,050,057
009,040,041,050,055,058
003,005,011,027,035,044
023,024,032,038,040,041
008,018,021,022,035,037
013,017,029,045,049,050
001,002,034,039,041,045
025,030,031,034,043,059
006,010,015,024,038,039
002,009,014,022,032,037
013,023,025,035,052,053
022,028,030,033,055,059
001,013,014,021,026,051
010,030,036,040,044,060
002,004,009,035,045,060
002,008,035,042,049,056
016,023,045,056,058,059
004,005,014,037,040,060
001,005,031,032,037,042
014,017,036,038,044,060
003,010,017,021,022,043
001,005,023,025,028,031
011,023,024,026,040,052
018,020,030,032,033,040
003,011,017,033,052,058
011,013,025,039,046,056
005,025,028,041,053,054
010,028,037,043,044,047
001,045,047,052,053,055
007,018,039,041,044,051
013,016,023,024,032,035
012,016,026,040,056,057
005,010,020,057,058,059
005,016,019,037,051,056
003,010,030,044,053,056
009,010,019,035,037,041
016,027,028,047,059,060
001,004,023,032,038,059
007,014,018,023,032,059
003,007,015,040,045,054
011,023,034,041,046,056
001,010,017,018,045,048
016,023,025,028,030,044
005,011,022,024,051,053
001,003,019,023,047,058
006,017,022,030,037,050
016,017,019,028,045,058
021,031,035,053,054,057
002,003,005,010,015,034
003,006,014,015,021,025
009,022,025,047,052,058
012,034,045,053,055,058
020,023,035,036,044,048
008,011,027,028,043,046
011,012,026,030,037,053
002,007,009,018,021,025
009,010,015,028,043,045
012,015,018,021,051,056
029,035,043,054,056,057
006,027,033,039,040,060
003,025,035,038,044,048
004,010,013,023,027,057
011,040,043,045,047,057
006,009,015,022,039,048
016,018,023,030,032,033
010,013,033,035,036,042
004,014,017,043,052,056
016,029,033,039,042,044
002,020,021,033,048,057
003,009,018,023,050,052
004,021,025,033,036,046
016,017,020,022,038,050
011,028,037,045,054,060
025,031,033,039,043,045
010,015,016,019,028,035
020,022,036,038,041,043
009,034,042,045,046,059
012,016,030,052,053,058
001,017,038,043,045,047
002,003,014,020,030,046
005,011,013,019,030,031
010,026,028,051,053,059
003,010,023,036,043,052
004,017,018,037,052,056
002,008,009,015,022,034
010,016,021,029,044,055
002,014,015,019,035,059
008,023,035,039,056,059
001,003,010,017,023,024
003,012,024,040,051,052
006,010,024,029,043,055
010,016,032,040,042,054
007,024,029,039,045,052
009,013,016,017,036,047
001,009,024,038,048,049
006,018,020,024,043,048
009,011,012,030,039,043
008,009,039,047,057,059
004,008,010,021,045,054
004,006,039,044,052,060
008,033,040,052,055,059
012,020,024,028,033,057
001,006,014,022,030,056
010,021,032,034,048,057
014,016,019,021,033,055
009,021,036,038,052,053
009,026,029,042,043,045
009,025,033,035,040,049
015,027,033,036,041,045
005,008,020,028,040,045
002,014,022,023,029,047
015,020,022,024,034,055
008,021,027,035,043,056
001,018,025,037,039,043
017,025,026,030,032,050
005,006,015,025,039,053
004,005,007,034,042,060
002,027,032,036,048,050
026,028,035,038,048,055
010,013,019,032,040,060
013,030,032,039,046,054
035,036,039,044,048,052
008,020,030,032,048,059
005,010,018,024,039,052
004,010,041,044,052,054
009,016,020,054,057,059
001,012,016,017,052,060
004,019,027,038,054,057
008,011,024,026,047,057
012,014,019,025,052,059
003,016,028,032,034,037
002,006,022,044,055,057
022,023,029,032,038,045
012,016,017,018,034,037
006,015,019,037,039,053
004,014,020,024,046,050
005,006,010,014,022,036
021,029,032,035,043,050
009,028,029,034,036,055
023,036,043,044,055,056
010,014,031,034,045,058
005,010,039,042,046,054
015,022,030,032,040,058
011,024,026,034,037,059
019,020,028,034,036,044
005,011,013,021,053,054
006,017,033,048,050,057
002,005,012,032,040,044
014,026,029,035,037,039
007,020,021,024,040,056
001,007,014,031,035,046
008,021,024,025,052,057
015,037,038,042,049,050
003,006,010,017,034,037
020,022,036,042,052,060
004,028,030,038,046,059
028,034,040,043,050,051
001,005,014,023,035,045
011,019,022,033,034,053
001,009,014,020,025,054
004,014,039,041,054,058
022,027,033,042,058,059
001,037,044,046,048,050
008,010,018,034,039,056
002,028,032,035,054,058
008,011,027,035,036,051
006,023,030,036,053,056
016,032,040,046,053,056
017,018,027,032,039,058
004,011,017,018,021,048
002,010,011,024,038,056
011,022,025,027,055,059
023,041,046,052,054,059
002,036,046,048,057,060
007,014,032,037,040,060
004,028,045,048,052,060
001,006,007,008,023,056
016,020,023,029,035,047
004,024,046,052,055,056
010,023,031,033,051,052
011,015,029,037,039,044
007,011,024,036,042,058
006,015,018,033,037,040
004,027,038,040,058,059
018,023,037,039,050,055
006,014,019,020,039,053
010,018,033,038,040,043
006,007,013,017,022,056
030,035,036,038,049,052
007,008,019,023,027,058
014,016,023,030,045,060
006,025,026,035,038,040
006,012,022,028,031,044
006,009,041,054,056,058
010,012,022,025,042,054
014,022,029,032,033,035
021,038,053,056,057,058
007,014,047,054,056,060
015,025,027,045,046,050
003,006,011,027,028,046
001,018,019,029,044,054
010,019,026,035,038,039
010,019,027,031,051,053
008,031,032,033,038,050
001,005,006,037,044,053
050,051,056,057,058,059
012,022,027,037,040,055
004,007,012,022,026,039
006,025,035,043,046,053
018,022,029,034,036,047
010,013,020,037,038,054
004,019,023,029,056,059
004,005,036,040,044,056
008,009,011,025,039,041
033,036,040,044,045,054
008,010,015,023,025,034
006,010,019,024,025,029
010,014,036,053,055,060
004,011,020,030,037,043
006,025,027,035,045,055
002,011,013,026,032,059
003,005,009,040,042,047
003,017,034,035,040,048
005,026,027,034,042,048
024,033,034,035,046,060
010,012,013,020,022,054
012,015,018,030,052,055
008,018,023,037,042,058
007,009,023,033,057,059
005,006,012,015,022,043
013,016,026,035,037,039
002,011,015,030,036,039
001,002,014,037,055,058
010,022,040,046,055,058
013,018,035,040,041,042
006,025,033,042,048,049
001,018,019,033,056,060
007,020,026,037,038,039
012,021,025,037,038,049
004,035,043,046,047,053
002,018,019,023,034,053
003,014,024,027,038,056
005,010,032,038,048,049
008,011,018,037,040,051
010,011,012,037,038,059
011,013,015,017,022,027
008,014,027,034,052,054
004,016,019,031,033,044
016,029,035,043,049,056
006,011,013,019,024,051
009,024,028,045,049,051
002,008,018,027,038,060
005,015,020,027,030,058
001,010,011,013,035,049
002,008,018,037,056,058
004,006,017,034,051,057
003,013,040,044,046,050
002,010,012,027,045,056
011,013,016,024,031,046
003,027,036,039,040,043
008,038,044,050,056,060
019,022,029,041,044,059
004,012,016,034,044,049
005,010,012,018,025,033
001,041,044,046,054,058
017,039,043,046,052,053
011,014,021,025,046,050
017,025,030,035,042,057
004,019,027,035,040,044
001,009,019,021,034,054
004,028,029,030,043,052
011,012,020,040,041,046
019,021,026,031,042,049
013,020,024,025,038,041
008,010,017,029,037,040
003,011,015,021,027,049
014,015,047,050,056,059
002,011,020,031,043,047
001,031,044,046,053,058
007,012,024,027,039,058
001,007,028,030,044,046
011,016,024,046,054,055
006,012,031,032,046,060
013,016,036,053,054,055
002,003,006,018,020,028
005,018,030,035,039,060
019,020,026,051,052,057
006,021,034,046,054,059
009,023,028,040,048,059
001,008,011,022,030,035
001,002,011,012,034,049
004,013,014,021,030,034
014,023,029,041,057,058
017,020,026,036,042,054
010,011,017,019,037,041
007,040,044,050,052,057
002,012,035,051,057,058
007,016,021,033,055,060
006,008,028,051,053,059
016,018,031,039,042,044
017,019,037,041,042,049
008,015,032,033,058,059
021,023,037,044,046,048
023,024,026,038,042,049
002,014,018,029,036,038
026,029,036,049,050,059
008,013,028,031,032,033
007,025,041,047,050,053
002,006,027,037,044,047
001,006,023,026,039,049
031,033,034,035,039,048
009,027,035,045,046,059
014,026,035,038,045,053
001,019,046,047,049,053
008,009,010,024,042,044
011,016,022,030,034,042
008,018,020,024,036,045
016,017,025,047,048,058
005,037,043,049,054,056
003,019,034,044,056,058
027,037,038,043,045,054
001,004,025,027,029,037
007,034,045,051,054,059
010,021,024,036,038,051
012,013,019,036,044,055
009,024,028,037,043,057
002,009,042,044,048,050
010,015,034,036,056,060
007,025,032,043,053,055
008,023,025,039,043,044
009,011,014,031,048,051
002,016,021,042,050,056
002,013,024,035,050,054
010,012,016,021,028,038
001,008,019,033,036,048
019,022,039,046,047,059
013,026,030,034,043,051
015,036,045,051,052,059
009,018,019,022,042,047
012,018,019,027,041,046
010,011,016,021,046,050
002,017,021,028,051,060
004,011,016,022,029,033
005,009,020,025,035,053
004,008,026,033,046,053
007,016,037,053,057,059
007,008,022,027,029,042
008,016,020,021,031,034
014,024,032,038,046,053
001,025,027,028,041,056
003,011,029,035,044,057
001,011,034,036,044,056
015,023,030,035,038,044
011,015,028,036,043,055
003,013,023,041,049,053
011,029,037,038,043,060
017,034,046,049,050,057
001,028,029,032,035,056
012,021,028,037,042,057
006,027,038,042,045,057
006,010,011,043,053,055
016,025,030,040,045,049
022,025,028,032,033,047
011,017,024,025,033,034
027,036,040,041,044,054
023,026,051,052,053,058
005,007,010,032,046,060
004,010,018,030,034,047
001,019,021,023,033,043
010,024,042,043,048,049
010,014,016,030,032,036
006,016,022,038,048,052
008,028,036,045,057,059
003,035,038,040,057,058
005,023,034,045,056,057
013,014,029,030,048,059
002,026,040,042,049,056
016,023,032,050,052,058
001,032,037,044,046,047
002,004,007,016,030,038
006,009,012,027,032,057
009,019,023,032,039,045
006,011,029,040,041,058
007,017,026,039,056,060
004,013,025,040,053,057
007,008,031,034,038,047
004,006,032,035,041,045
004,021,027,029,042,047
014,018,030,035,055,057
007,020,038,043,045,053
011,020,027,028,053,060
011,036,045,055,057,058
007,027,031,039,045,046
007,009,010,019,025,058
001,013,018,026,040,056
005,009,018,024,025,042
014,018,028,035,038,054
003,005,011,034,037,042
011,014,015,018,033,034
005,009,024,027,033,046
001,042,044,047,048,053
009,015,020,029,030,042
004,009,031,047,049,053
027,033,039,052,057,058
005,015,022,026,054,058
001,017,030,037,046,050
031,032,033,039,052,055
004,009,024,044,047,056
015,020,039,041,049,057
009,010,030,037,047,054
018,021,030,031,034,051
001,005,007,014,023,026
020,027,041,054,056,058
012,014,034,035,037,047
007,023,026,027,029,051
007,008,014,023,030,046
009,024,033,043,049,057
002,003,008,019,029,037
014,020,023,039,046,050
010,023,031,037,058,059
020,032,033,048,049,053
004,013,023,028,030,052
001,011,014,023,029,055
014,016,038,039,041,048
006,010,027,028,041,052
002,005,011,024,041,049
015,016,020,038,040,058
008,011,017,033,040,055
002,004,025,036,050,053
005,015,018,027,049,057
010,022,023,037,053,060
008,017,034,037,043,045
005,012,014,020,027,028
028,029,031,050,058,059
014,027,035,040,050,055
012,027,030,036,045,052
004,024,037,043,059,060
004,010,012,014,036,046
001,007,010,012,033,042
009,021,030,041,042,043
002,004,006,029,041,056
002,026,035,039,040,056
006,009,034,037,038,045
005,018,036,044,057,060
012,026,031,036,037,049
006,016,018,033,042,057
001,002,010,037,042,048
009,015,020,033,041,043
006,013,026,028,035,041
001,006,021,029,036,059
020,022,035,040,041,059
013,017,021,031,041,049
002,003,019,040,044,060
009,021,037,039,043,054
017,018,035,036,047,052
018,022,025,027,043,044
003,007,017,020,048,050
012,021,029,054,056,057
007,016,022,038,055,057
003,019,028,033,057,058
016,033,038,046,053,055
009,013,026,038,058,060
009,011,029,030,033,060
013,017,028,029,042,053
003,005,009,035,043,060
003,027,039,046,047,060
003,020,026,045,049,058
006,007,028,042,045,049
001,010,017,026,030,053
002,011,043,049,052,056
003,008,030,033,035,048
028,044,052,054,058,060
006,017,025,035,040,049
006,030,035,039,042,048
014,025,028,041,043,046
002,005,010,029,034,041
020,027,035,039,050,059
